Property_ID,Tenant_ID,Month,Monthly_Rent,Lease_Expiry_Date,Group
P01,P01_T3,2024-02-01,17440.071291025386,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-03-01,127836.95020430975,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-03-01,36524.842915517074,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-03-01,18262.421457758537,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-04-01,130584.51311358808,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-04-01,37309.860889596595,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-04-01,18654.930444798298,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-05-01,131687.33558694212,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-05-01,37624.953024840615,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-05-01,18812.476512420308,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-06-01,144386.76882423903,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-06-01,41253.36252121115,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-06-01,20626.681260605576,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-07-01,154949.2518356431,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-07-01,44271.21481018375,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-07-01,22135.607405091876,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-08-01,150360.5177121591,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-08-01,42960.14791775975,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-08-01,21480.073958879875,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-09-01,153788.67105576248,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-09-01,43939.62030164643,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-09-01,21969.810150823214,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-10-01,166031.569780253,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-10-01,47437.591365786575,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-10-01,23718.795682893287,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-11-01,174666.81438660703,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-11-01,49904.804110459154,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-11-01,24952.402055229577,2024-09-01,High Growth + High Concentration
P01,P01_T1,2024-12-01,176940.50534985072,2027-02-01,High Growth + High Concentration
P01,P01_T2,2024-12-01,50554.43009995736,2024-07-01,High Growth + High Concentration
P01,P01_T3,2024-12-01,25277.21504997868,2024-09-01,High Growth + High Concentration
P02,P02_T1,2023-01-01,57782.27114837185,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-01-01,17779.160353345185,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-01-01,8889.580176672593,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-01-01,4444.790088336296,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-02-01,60573.108798693116,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-02-01,18637.87963036711,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-02-01,9318.939815183556,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-02-01,4659.469907591778,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-03-01,58908.827633313704,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-03-01,18125.793117942678,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-03-01,9062.896558971339,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-03-01,4531.448279485669,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-04-01,64056.882940113974,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-04-01,19709.810135419684,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-04-01,9854.905067709842,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-04-01,4927.452533854921,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-05-01,63129.15661404087,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-05-01,19424.355881243344,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-05-01,9712.177940621672,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-05-01,4856.088970310836,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-06-01,69100.01544788523,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-06-01,21261.543214733916,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-06-01,10630.771607366958,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-06-01,5315.385803683479,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-07-01,70755.24481415904,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-07-01,21770.84455820278,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-07-01,10885.42227910139,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-07-01,5442.711139550695,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-08-01,75230.43226466619,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-08-01,23147.82531220498,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-08-01,11573.91265610249,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-08-01,5786.956328051245,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-09-01,73863.83410053253,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-09-01,22727.33356939463,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-09-01,11363.666784697314,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-09-01,5681.833392348657,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-10-01,76752.87296022219,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-10-01,23616.26860314529,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-10-01,11808.134301572645,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-10-01,5904.067150786323,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-11-01,77623.70157946473,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-11-01,23884.215870604534,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-11-01,11942.107935302267,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-11-01,5971.0539676511335,2024-05-01,High Growth + High Concentration
P02,P02_T1,2023-12-01,82824.02692712795,2026-12-01,High Growth + High Concentration
P02,P02_T2,2023-12-01,25484.315977577833,2024-05-01,High Growth + High Concentration
P02,P02_T3,2023-12-01,12742.157988788917,2024-07-01,High Growth + High Concentration
P02,P02_T4,2023-12-01,6371.078994394458,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-01-01,87643.53368320614,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-01-01,26967.2411332942,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-01-01,13483.6205666471,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-01-01,6741.81028332355,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-02-01,90477.03079526985,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-02-01,27839.086398544572,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-02-01,13919.543199272286,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-02-01,6959.771599636143,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-03-01,92778.26582949086,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-03-01,28547.158716766422,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-03-01,14273.579358383211,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-03-01,7136.7896791916055,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-04-01,93858.10909017459,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-04-01,28879.41818159218,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-04-01,14439.70909079609,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-04-01,7219.854545398045,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-05-01,99637.84002888695,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-05-01,30657.796931965215,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-05-01,15328.898465982607,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-05-01,7664.449232991304,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-06-01,102836.55436532007,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-06-01,31642.01672779079,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-06-01,15821.008363895395,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-06-01,7910.504181947697,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-07-01,107445.69287000295,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-07-01,33060.21319077014,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-07-01,16530.10659538507,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-07-01,8265.053297692535,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-08-01,107549.27955814156,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-08-01,33092.08601788971,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-08-01,16546.043008944856,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-08-01,8273.021504472428,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-09-01,113323.64147809458,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-09-01,34868.81276249064,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-09-01,17434.40638124532,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-09-01,8717.20319062266,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-10-01,117011.95039693339,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-10-01,36003.67704521027,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-10-01,18001.838522605136,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-10-01,9000.919261302568,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-11-01,117948.51669497624,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-11-01,36291.85129076192,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-11-01,18145.92564538096,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-11-01,9072.96282269048,2024-05-01,High Growth + High Concentration
P02,P02_T1,2024-12-01,128648.53843666738,2026-12-01,High Growth + High Concentration
P02,P02_T2,2024-12-01,39584.16567282073,2024-05-01,High Growth + High Concentration
P02,P02_T3,2024-12-01,19792.082836410365,2024-07-01,High Growth + High Concentration
P02,P02_T4,2024-12-01,9896.041418205183,2024-05-01,High Growth + High Concentration
P03,P03_T1,2023-01-01,86569.94018455115,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-01-01,28007.921824413606,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-01-01,12730.87355655164,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-02-01,87597.70802799145,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-02-01,28340.434950232528,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-02-01,12882.015886469331,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-03-01,87018.6534393865,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-03-01,28153.093759801515,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-03-01,12796.86079990978,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-04-01,94078.7971325148,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-04-01,30437.25789581361,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-04-01,13835.117225369824,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-05-01,101188.71069506701,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-05-01,32737.524048404033,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-05-01,14880.69274927456,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-06-01,96402.42699447261,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-06-01,31189.020498211725,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-06-01,14176.827499187148,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-07-01,93822.48260152807,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-07-01,30354.332606376727,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-07-01,13797.423911989423,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-08-01,106917.14331764239,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-08-01,34590.840485119596,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-08-01,15723.109311417997,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-09-01,107182.82705389039,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-09-01,34676.79698802336,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-09-01,15762.180449101528,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-10-01,113292.52735031457,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-10-01,36653.464730984124,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-10-01,16660.665786810965,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-11-01,110516.81274056858,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-11-01,35755.4394160663,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-11-01,16252.47246184832,2024-04-01,High Growth + High Concentration
P03,P03_T1,2023-12-01,111735.40192324607,2027-09-01,High Growth + High Concentration
P03,P03_T2,2023-12-01,36149.688857520785,2024-11-01,High Growth + High Concentration
P03,P03_T3,2023-12-01,16431.67675341854,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-01-01,118387.10410777712,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-01-01,38301.71015251613,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-01-01,17409.868251143693,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-02-01,120953.82063201643,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-02-01,39132.11843977002,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-02-01,17787.326563531828,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-03-01,126057.87671653574,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-03-01,40783.430702408616,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-03-01,18537.92304654937,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-04-01,126169.71844415457,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-04-01,40819.614790755884,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-04-01,18554.370359434495,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-05-01,131117.66614756885,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-05-01,42420.421400684034,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-05-01,19282.009727583652,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-06-01,141346.20776333456,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-06-01,45729.65545284353,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-06-01,20786.207024019786,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-07-01,150618.90568965513,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-07-01,48729.64595841784,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-07-01,22149.839072008108,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-08-01,149606.78147460008,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-08-01,48402.19400648826,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-08-01,22000.99727567648,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-09-01,153163.39713303355,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-09-01,49552.86377833438,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-09-01,22524.028990151994,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-10-01,152960.4670437104,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-10-01,49487.2099259063,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-10-01,22494.186329957414,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-11-01,154912.17742506054,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-11-01,50118.645637519585,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-11-01,22781.2025625089,2024-04-01,High Growth + High Concentration
P03,P03_T1,2024-12-01,166301.9616701968,2027-09-01,High Growth + High Concentration
P03,P03_T2,2024-12-01,53803.57583447543,2024-11-01,High Growth + High Concentration
P03,P03_T3,2024-12-01,24456.17083385247,2024-04-01,High Growth + High Concentration
P04,P04_T1,2023-01-01,23958.51796791842,2026-07-01,Stable + Diversified
P04,P04_T2,2023-01-01,23958.51796791842,2026-05-01,Stable + Diversified
P04,P04_T3,2023-01-01,19166.814374334735,2026-04-01,Stable + Diversified
P04,P04_T4,2023-01-01,14375.11078075105,2024-12-01,Stable + Diversified
P04,P04_T5,2023-01-01,14375.11078075105,2027-10-01,Stable + Diversified
P04,P04_T1,2023-02-01,24332.60107131672,2026-07-01,Stable + Diversified
P04,P04_T2,2023-02-01,24332.60107131672,2026-05-01,Stable + Diversified
P04,P04_T3,2023-02-01,19466.080857053377,2026-04-01,Stable + Diversified
P04,P04_T4,2023-02-01,14599.560642790031,2024-12-01,Stable + Diversified
P04,P04_T5,2023-02-01,14599.560642790031,2027-10-01,Stable + Diversified
P04,P04_T1,2023-03-01,24444.82745182858,2026-07-01,Stable + Diversified
P04,P04_T2,2023-03-01,24444.82745182858,2026-05-01,Stable + Diversified
P04,P04_T3,2023-03-01,19555.861961462866,2026-04-01,Stable + Diversified
P04,P04_T4,2023-03-01,14666.896471097147,2024-12-01,Stable + Diversified
P04,P04_T5,2023-03-01,14666.896471097147,2027-10-01,Stable + Diversified
P04,P04_T1,2023-04-01,24779.878871653826,2026-07-01,Stable + Diversified
P04,P04_T2,2023-04-01,24779.878871653826,2026-05-01,Stable + Diversified
P04,P04_T3,2023-04-01,19823.903097323062,2026-04-01,Stable + Diversified
P04,P04_T4,2023-04-01,14867.927322992295,2024-12-01,Stable + Diversified
P04,P04_T5,2023-04-01,14867.927322992295,2027-10-01,Stable + Diversified
P04,P04_T1,2023-05-01,24731.927597143564,2026-07-01,Stable + Diversified
P04,P04_T2,2023-05-01,24731.927597143564,2026-05-01,Stable + Diversified
P04,P04_T3,2023-05-01,19785.542077714854,2026-04-01,Stable + Diversified
P04,P04_T4,2023-05-01,14839.156558286137,2024-12-01,Stable + Diversified
P04,P04_T5,2023-05-01,14839.156558286137,2027-10-01,Stable + Diversified
P04,P04_T1,2023-06-01,25426.774262119434,2026-07-01,Stable + Diversified
P04,P04_T2,2023-06-01,25426.774262119434,2026-05-01,Stable + Diversified
P04,P04_T3,2023-06-01,20341.419409695547,2026-04-01,Stable + Diversified
P04,P04_T4,2023-06-01,15256.06455727166,2024-12-01,Stable + Diversified
P04,P04_T5,2023-06-01,15256.06455727166,2027-10-01,Stable + Diversified
P04,P04_T1,2023-07-01,25466.97182747,2026-07-01,Stable + Diversified
P04,P04_T2,2023-07-01,25466.97182747,2026-05-01,Stable + Diversified
P04,P04_T3,2023-07-01,20373.577461976,2026-04-01,Stable + Diversified
P04,P04_T4,2023-07-01,15280.183096481998,2024-12-01,Stable + Diversified
P04,P04_T5,2023-07-01,15280.183096481998,2027-10-01,Stable + Diversified
P04,P04_T1,2023-08-01,25510.731082651,2026-07-01,Stable + Diversified
P04,P04_T2,2023-08-01,25510.731082651,2026-05-01,Stable + Diversified
P04,P04_T3,2023-08-01,20408.5848661208,2026-04-01,Stable + Diversified
P04,P04_T4,2023-08-01,15306.4386495906,2024-12-01,Stable + Diversified
P04,P04_T5,2023-08-01,15306.4386495906,2027-10-01,Stable + Diversified
P04,P04_T1,2023-09-01,26196.572515487078,2026-07-01,Stable + Diversified
P04,P04_T2,2023-09-01,26196.572515487078,2026-05-01,Stable + Diversified
P04,P04_T3,2023-09-01,20957.258012389662,2026-04-01,Stable + Diversified
P04,P04_T4,2023-09-01,15717.943509292247,2024-12-01,Stable + Diversified
P04,P04_T5,2023-09-01,15717.943509292247,2027-10-01,Stable + Diversified
P04,P04_T1,2023-10-01,26210.378707205236,2026-07-01,Stable + Diversified
P04,P04_T2,2023-10-01,26210.378707205236,2026-05-01,Stable + Diversified
P04,P04_T3,2023-10-01,20968.30296576419,2026-04-01,Stable + Diversified
P04,P04_T4,2023-10-01,15726.227224323142,2024-12-01,Stable + Diversified
P04,P04_T5,2023-10-01,15726.227224323142,2027-10-01,Stable + Diversified
P04,P04_T1,2023-11-01,26297.048281405125,2026-07-01,Stable + Diversified
P04,P04_T2,2023-11-01,26297.048281405125,2026-05-01,Stable + Diversified
P04,P04_T3,2023-11-01,21037.638625124102,2026-04-01,Stable + Diversified
P04,P04_T4,2023-11-01,15778.228968843074,2024-12-01,Stable + Diversified
P04,P04_T5,2023-11-01,15778.228968843074,2027-10-01,Stable + Diversified
P04,P04_T1,2023-12-01,26780.196389658748,2026-07-01,Stable + Diversified
P04,P04_T2,2023-12-01,26780.196389658748,2026-05-01,Stable + Diversified
P04,P04_T3,2023-12-01,21424.157111727,2026-04-01,Stable + Diversified
P04,P04_T4,2023-12-01,16068.117833795248,2024-12-01,Stable + Diversified
P04,P04_T5,2023-12-01,16068.117833795248,2027-10-01,Stable + Diversified
P04,P04_T1,2024-01-01,26846.947970186233,2026-07-01,Stable + Diversified
P04,P04_T2,2024-01-01,26846.947970186233,2026-05-01,Stable + Diversified
P04,P04_T3,2024-01-01,21477.558376148987,2026-04-01,Stable + Diversified
P04,P04_T4,2024-01-01,16108.16878211174,2024-12-01,Stable + Diversified
P04,P04_T5,2024-01-01,16108.16878211174,2027-10-01,Stable + Diversified
P04,P04_T1,2024-02-01,27313.53244737842,2026-07-01,Stable + Diversified
P04,P04_T2,2024-02-01,27313.53244737842,2026-05-01,Stable + Diversified
P04,P04_T3,2024-02-01,21850.825957902736,2026-04-01,Stable + Diversified
P04,P04_T4,2024-02-01,16388.119468427052,2024-12-01,Stable + Diversified
P04,P04_T5,2024-02-01,16388.119468427052,2027-10-01,Stable + Diversified
P04,P04_T1,2024-03-01,27695.400398984035,2026-07-01,Stable + Diversified
P04,P04_T2,2024-03-01,27695.400398984035,2026-05-01,Stable + Diversified
P04,P04_T3,2024-03-01,22156.32031918723,2026-04-01,Stable + Diversified
P04,P04_T4,2024-03-01,16617.24023939042,2024-12-01,Stable + Diversified
P04,P04_T5,2024-03-01,16617.24023939042,2027-10-01,Stable + Diversified
P04,P04_T1,2024-04-01,27912.82988140467,2026-07-01,Stable + Diversified
P04,P04_T2,2024-04-01,27912.82988140467,2026-05-01,Stable + Diversified
P04,P04_T3,2024-04-01,22330.263905123735,2026-04-01,Stable + Diversified
P04,P04_T4,2024-04-01,16747.6979288428,2024-12-01,Stable + Diversified
P04,P04_T5,2024-04-01,16747.6979288428,2027-10-01,Stable + Diversified
P04,P04_T1,2024-05-01,27974.56047752919,2026-07-01,Stable + Diversified
P04,P04_T2,2024-05-01,27974.56047752919,2026-05-01,Stable + Diversified
P04,P04_T3,2024-05-01,22379.648382023355,2026-04-01,Stable + Diversified
P04,P04_T4,2024-05-01,16784.736286517513,2024-12-01,Stable + Diversified
P04,P04_T5,2024-05-01,16784.736286517513,2027-10-01,Stable + Diversified
P04,P04_T1,2024-06-01,28485.619122091015,2026-07-01,Stable + Diversified
P04,P04_T2,2024-06-01,28485.619122091015,2026-05-01,Stable + Diversified
P04,P04_T3,2024-06-01,22788.495297672813,2026-04-01,Stable + Diversified
P04,P04_T4,2024-06-01,17091.371473254607,2024-12-01,Stable + Diversified
P04,P04_T5,2024-06-01,17091.371473254607,2027-10-01,Stable + Diversified
P04,P04_T1,2024-07-01,28996.88627961587,2026-07-01,Stable + Diversified
P04,P04_T2,2024-07-01,28996.88627961587,2026-05-01,Stable + Diversified
P04,P04_T3,2024-07-01,23197.509023692695,2026-04-01,Stable + Diversified
P04,P04_T4,2024-07-01,17398.13176776952,2024-12-01,Stable + Diversified
P04,P04_T5,2024-07-01,17398.13176776952,2027-10-01,Stable + Diversified
P04,P04_T1,2024-08-01,28835.210182972904,2026-07-01,Stable + Diversified
